Автор;Имя статьи;Тема;Аннотация;Ссылка на статью
syrotenko_serhii;Angular 4 Material. Часть 1 — Создание и настройка проекта;Angular *;"Предисловие
Столкнулся с необходимостью использования Angular 4 Material. Качал с .io сайтов HelloWorld-овские проекты, следовал гайдам. Но уроков по Angular 4 Material мало и складывается ощущение, что они написаны для уже знающих людей. Поэтому, решил написать несколько статей, в которых расскажу, как сделать из обычного проекта Angular проект Angular Material, а также о неожиданных проблемах использования некоторых компонентов и о их решениях. Пару раз пришлось даже написать собственные компоненты на основе существующих, что тоже будет освещено. Но обо все по порядку.";/ru/post/335318/
Hooter;Основы Angular: HttpClient;Разработка веб-сайтов *JavaScript *Angular *;"Самый распространенный способ получить данные из web служб — это через Http. И в этой статье мы посмотрим как это можно сделать Http-запрос в Angular 4.3 через новый HttpClient.
Начиная с версии Angular 4.3 появился новый HttpClient. В этой статье описывается только новый клиент.";/ru/post/336280/
maxim1006;Настройка среды разработки Webpack 3 + Angular 4: от сложного к простому;Блог компании Netcracker JavaScript *Angular *TypeScript *;"Всем привет!

Современное front-end-приложение на Angular должно включать в себя следующие характеристики:


Возможность использования типизированного JS — Typescript
Обеспечение удобства и производительности разработки с помощью HMR (hot module replacement);
Модульность приложений и возможность отложенной загрузки модулей (Lazy Loading);
AoT — режим (ahead-of-time), повышающий производительность приложения.

Существует много вариантов сборки, решающих эти задачи (angular cli, A2 seed и т. д.). Обычно они имеют сложную структуру, плохо настраиваются/расширяются и представляют собой монолит, который невозможно изменить.

В статье я расскажу, как совместить Angular 2+ с webpack и разобраться со всеми этапами сборки/разработки.

Вы удивитесь, как это просто.";/ru/company/netcracker/blog/337540/
xeofus;Angular c Clarity Design System от VmWare;Разработка веб-сайтов *JavaScript *Node.JS *Angular *;"Поработав с Angular Material 2, в какой то момент пришел к выводу, что продукт сыроват для полета фантазии и некоторые вещи (badge, vertical tabs, data-grid) либо реализованы с минимальным функционалом, либо In progress, planned.

Вечером, придя домой, начал искать что нибудь, что мог бы предложить тимлиду как альтернативу для следующего проекта. Тут то я и заметил, что angular.io разжился табом Resources. Это было пару месяцев назад.
Там среди прочих довольно таки полезных вещей, команда разработчиков Angular, добавила продукт от не менее известной компании, чьи разработки я уважаю и с щенячьим восторгом всегда рад лишний раз поковырять — VmWare. Ребята сделали весьма и весьма достойный продукт — Clarity.";/ru/post/339294/
ru_vds;11 библиотек (наборов компонентов) для Angular, о которых стоит знать в 2018-м;Блог компании RUVDS.com Разработка веб-сайтов *Angular *;"? 11 библиотек (наборов компонентов) для Angular, о которых стоит знать в 2018-м
? 11 библиотек (наборов компонентов) для Vue, о которых стоит знать в 2018-м
? 11 библиотек (наборов компонентов) для React, о которых стоит знать в 2018-м

Перед вами третий материал из серии, посвящённой обзору библиотек для популярных веб-фреймворков. В прошлые разы мы говорили о React и Vue. Сегодня наша тема — Angular. В этом материале, помимо традиционных 11-ти библиотек, мы упомянем ещё несколько наборов инструментов, достойных внимания.";/ru/company/ruvds/blog/346218/
ph_piter;Книга «Angular и TypeScript. Сайтостроение для профессионалов»;Блог компании Издательский дом «Питер» JavaScript *Angular *Профессиональная литература TypeScript *;"Всем привет! Недавно у нас вышла новая книга, описывающая работу с непростыми и мощными инструментами веб-разработчика: Angular и TypeScript. Авторы: Яков Файн и Антон Моисеев объясняют особенности фреймворка, приводя простые примеры кода, и нескольких глав излагают, как создать одностраничное приложение для онлайн-аукционов. Ниже мы рассмотрим раздел из книги, посвященный внедрению зависимостей.

Любое Angular-приложение представляет собой коллекцию объектов, директив и классов, которые могут зависеть друг от друга. Несмотря на то, что каждый компонент может явно создавать экземпляры своих зависимостей, Angular способен выполнять эту задачу с помощью механизма внедрения зависимостей.";/ru/company/piter/blog/347364/
phillennium;Ускорение Angular-приложений;Блог компании JUG Ru Group JavaScript *;Многие знают Минко Гечева (rhyme.com) по книге «Switching to Angular» и по тексту «Angular Performance-Checklist», помогающему Angular-разработчикам оптимизировать свои проекты. На нашей декабрьской конференции HolyJS 2017 Moscow он тоже развивал тему Angular-производительности, выступив с докладом «Faster Angular applications». А теперь на основе этого выступления мы подготовили хабрапост, переведя все на русский. Добро пожаловать под кат! А если предпочитаете англоязычную видеозапись выступления, прилагаем и ее тоже:;/ru/company/jugru/blog/354552/
thekiba;Лучшее из мира Angular за неделю — Дайджест №2 (26 января — 7 марта);Angular *;"Свежая подборка со ссылками на новости и материалы.
Приятного чтения!";/ru/post/442870/
ru_vds;Оказывает ли React плохое влияние на Angular?;Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *Angular *ReactJS *;Автор материала, перевод которого мы сегодня публикуем, предлагает поразмышлять о будущем веб-разработки. По мере того, как тренды популярности технологий начинают смещаться в сторону библиотеки React, легко ощутить важность вопроса о том, насколько актуальным, через некоторое время, окажется фреймворк Angular. Ясно, что в итоге первое место достанется лишь одной технологии, и это заставляет веб-разработчиков, в особенности тех, которые только начинают свой путь, задаваться вопросом о том, что выбрать.;/ru/company/ruvds/blog/450666/
ru_vds;Angular без zone.js: максимум производительности;Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *Angular *TypeScript *;"Angular-разработчики в большом долгу перед библиотекой zone.js. Она, например, помогает достичь в работе с Angular почти волшебной лёгкости. На самом деле, практически всегда, когда нужно просто поменять какое-нибудь свойство, и мы меняем его, ни о чём не задумываясь, Angular производит повторный рендеринг соответствующих компонентов. В результате то, что видит пользователь, всегда содержит самую свежую информацию. Это просто замечательно.

Здесь мне хотелось бы исследовать некоторые аспекты того, как применение нового компилятора Ivy (он появился в Angular 9) способно значительно облегчить отказ от использования zone.js.



Благодаря отказу от этой библиотеки я смог значительно увеличить производительность Angular-приложения, работающего под высокой нагрузкой. При этом нужные мне механизмы удалось реализовать средствами декораторов TypeScript, что привело к совсем небольшим дополнительным затратам системных ресурсов.

Обратите внимание на то, что подход к оптимизации Angular-приложений, представленный в этом материале, возможен лишь благодаря тому, что Angular Ivy и AOT включены по умолчанию. Эта статья написана в учебных целях, она не направлена на пропаганду представленного в ней подхода к разработке Angular-проектов.";/ru/company/ruvds/blog/476956/
ru_vds;6 концепций, которые нужно освоить архитектору Angular-приложений;Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *Angular *Учебный процесс в IT;"Angular — один из самых масштабных из существующих веб-фреймворков. Он включает в себя множество встроенных возможностей. А это значит, что для полноценного освоения Angular нужно разобраться с изрядным количеством концепций.



Автор материала, перевод которого мы сегодня публикуем, полагает, что существует шесть концепций, глубокое знание которых нужно Angular-разработчикам для того чтобы создавать хорошо спроектированные приложения. При этом он говорит не об изучении исходного кода реализации этих концепций, хотя и ему самому иногда приходится заглядывать в код. Речь идёт о понимании соответствующих механизмов и об умении применять их на практике.";/ru/company/ruvds/blog/503308/
ru_vds;Встречаем Angular 10;Блог компании RUVDS.com Разработка веб-сайтов *JavaScript *Angular *;"Вышел Angular 10.0.0! Это — мажорный релиз, который затрагивает всю платформу, включая сам фреймворк, библиотеку компонентов Angular Material и инструменты командной строки. Размер этого релиза меньше, чем обычно. Дело в том, что с момента выхода Angular 9 прошло всего 4 месяца.

Мы стремимся к тому, чтобы выпускать каждый год по два мажорных релиза. Делается это по разным причинам. Во-первых — чтобы Angular шёл бы в ногу со временем и соответствовал бы современному состоянию экосистемы JavaScript. Во-вторых — чтобы у Angular был бы предсказуемый график выхода новых релизов. Angular 11 мы планируем выпустить этой осенью.



Поговорим о том, что нового появилось в Angular 10.";/ru/company/ruvds/blog/508656/
lucius;Только 39% функций в node_modules уникальны в дефолтном Angular проекте;JavaScript *Angular *ReactJS *;"39% — это количество уникальных функций в папке node_modules в дефолтном Angular проекте, созданном командой ng new my-app.
Мне было интересно посмотреть, сколько похожих функций существует в node_modules. Ведь наверняка же разработчики открытых библиотек решают проблемы одинаковыми способами, так же изучают одни и те же алгоритмы, ну и, чего кривить душой, копируют одни и те же решения со StackOverflow.";/ru/post/554314/
lucius;Only 39% of the functions in node_modules are unique in the default Angular project;JavaScript *Angular *ReactJS *;"Only 39% of the functions in node_modules are unique in the default Angular project created by ng new my-app.
I think the developers of open source solve problems in the same ways, because they study the same algorithms. Well, why be honest, they copy the popular solutions from StackOverflow also.";/ru/post/554334/
svekl;Angular 2.0.0-alpha для тех, кто не в силах ждать;Разработка веб-сайтов *JavaScript *Программирование *HTML *Angular *;"Совсем недавно (5-6 марта) прошла конференция ng-conf, и много докладов на ней было посвящено грядущему релизу Angular 2, на нескольких из них даже показали альфа версию. Конечно же после прослушивания очень захотелось опробовать его лично. Если вам тоже не терпится — прошу под кат. 

В этой статье мы разберёмся, где взять билд альфа версии Angular 2.0, создадим на нём небольшое приложение — To-do list, и запустим его в браузере без полной поддержки ECMAScript 6.";/ru/post/253469/
vitrilo;Опыт Angular + Typescript + Offline SPA проекта через год;JavaScript *TypeScript *;Хочу поделиться своим небольшом положительном опытом об проекте основанном на Angular + Typescript по прошествии года. Это далеко не новая связка, и я уверен, что уже многие её успешно используют. Конечно, уже многие ждут больше статей об React или Angular 2.0, но мне кажется, и этот опыт будет кому-то полезен.;/ru/post/274591/
mmxzmax;Angular schematics, или как я писал свой шаблон для angular cli;Программирование *Angular *;"Здравствуйте, меня зовут Максим. Уже несколько лет я занимаюсь front-end разработкой. Мне часто приходится иметь дело с версткой различных html шаблонов. В своей повседневной работе я обычно пользуюсь сборщиком webpack c настроенным шаблонизатором pug, а также использую методологию BEM. Для того чтобы облегчить себе жизнь использую замечательный пакет.
Недавно нужно было сделать небольшой проект на Angular, а так как я привык работать со своими любимыми инструментами, возвращаться на голый html не хотелось. В связи с чем появилась задача как подружить bempug с ангуляром, и не просто подружить, но еще и генерировать компоненты из cli с необходимой мне структурой.
Кому интересно как я все это провернул добро пожаловать под кат.";/ru/post/469509/
anton-nikulin;5 вещей, которые я бы хотел знать, когда начинал использовать Angular;Блог компании TINKOFF Разработка веб-сайтов *Angular *TypeScript *;"Современный Angular — это мощный фреймворк с множеством возможностей, вместе с которыми приходят и сложные, на первый взгляд, концепции и механизмы. Особенно это заметно тем, кто только начал работу как во фронтэнде в принципе, так и с Angular в частности.
С этой же проблемой столкнулся и я, когда примерно два года назад пришел в Тинькофф на позицию Junior Frontend Developer и погрузился в мир Angular. Поэтому предлагаю вам короткий рассказ о пяти вещах, понимание которых очень облегчило бы мою работу на первых порах.";/ru/company/tinkoff/blog/480782/
Vahman;Angular 9 теперь доступен — Ivy прибыл;Разработка веб-сайтов *Angular *TypeScript *;"Вышла 9 версия Angular, это основной релиз, охватывающий всю платформу, включая сам фреймворк, angular material и CLI. В этом релизе приложения по умолчанию переключаются на компилятор и рантайм Ivy и, а также представляются улучшенные способы тестирования компонентов.

Это одно из самых больших обновлений Angular за последние 3 года, и команда разработчиков рада возможностям, позволяющим разработчикам создавать лучшие приложения и вносить свой вклад в экосистему Angular.";/ru/post/487362/
skillfactory_school;Добро пожаловать в Angular 11;Блог компании SkillFactory Разработка веб-сайтов *JavaScript *Программирование *Angular *;Специально к старту нового потока курса «Fullstack веб-разработчик на JavaScript» представляем вам обзор новой версии популярного фреймворка JavaScript — Angular. 11.0.0 версия уже доступна, и в ней есть отличные обновления, которые затрагивают всю платформу, включая сам фреймворк, библиотеку компонентов и инструменты командной строки. Давайте посмотрим, что в этом релизе.;/ru/company/skillfactory/blog/527516/
ikate007;Семилетними шагами: миграция с JSP + Angular JS на Angular 2+;Блог компании Миландр Разработка веб-сайтов *JavaScript *Angular *TypeScript *;Что нужно для перехода от серверного рендеринга к пользовательскому? Чем хорош Angular 2+ и как на него перейти?  В этой статье попытаемся разобраться в данных вопросах и описать процесс миграции от серверных технологий рендеринга, таких, как JSP, к клиентским технологиям рендеринга представлений с использованием Angular.;/ru/company/milandr/blog/549048/
